"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho16"	17	4112	344	292	0.0105018165304269	0.3071	-0.0019	4638.47026409703	312.042486047777	5009.07624074878	109.627369386786	-0.000194705305324061	0.307054950045413	0	"0/1/2/3/4"	"2775/1076/203/311/39"	2.31746031746032	3.0984126984127
"Ho17"	18	3303	175	150	0.00227338546191717	0.307	0.0047	4603.7975343	313.757071545644	4972.76933702305	119.50437580148	0.000204507104506035	0.306950477845352	0	"0/1/2/3/4/5"	"1613/1205/460/145/29/1"	1.61290322580645	1.02244039270687
"Ho18"	19	4411	338	293	0.00108418367346939	0.3005	0.0177	4505.22740117342	300.519239903689	4856.80543940143	126.848801584649	0.0013183382712938	0.300512329931973	0	"0/1/2/3/4"	"3157/687/508/331/21"	2.15441176470588	2.47227668845316
"Ho19"	20	4385	390	327	0.0114070458404075	0.3032	0.0066	4500.16781189591	302.283458807558	4851.0095907411	86.2689613808241	0.000723855534646933	0.303151528013582	0	"0/1/2/3/4/5"	"3145/973/215/344/34/1"	2.51538461538462	5.69355992844365
"Ho20"	21	3994	182	155	0.00737527114967462	0.3071	8e-04	4494.26593306365	305.721514424667	4847.15168481625	66.9622904606395	0.0038541567611341	0.3070715835141	0	"0/1/2/3/4/6"	"2063/1462/433/157/33/1"	2.15277777777778	2.46928794992175
"Ho21"	22	4388	323	274	0.0154976404976405	0.3038	0.0074	4467.61884919777	296.135351635797	4810.33739401023	80.1976728424109	0.00138170547745742	0.303811668811669	0	"0/1/2/3/4/5"	"3074/737/525/311/14/1"	2.5607476635514	4.72033151119732
"Ho22"	23	5057	403	343	0.03025	0.3032	0.0063	4463.93718079193	297.259157255372	4805.73126117028	113.459694616913	0.00152294100831663	0.303218518518518	0	"0/1/2/3/4/6"	"3532/1176/284/373/34/1"	2.36551724137931	3.90019157088123
"Ho23"	24	3417	238	198	0.0301659751037344	0.303	0.0082	4486.81518254089	300.689425161399	4830.9001331045	60.5193297351575	0.00263696829193982	0.302990318118949	0	"0/1/2/3/4/5"	"1894/1112/375/193/40/1"	2.2	4.52134831460674
"Ho24"	25	4761	283	237	0.0219187675070028	0.3069	-0.0043	4429.03726682428	297.425172172599	4766.99779226508	115.602416207572	0.00140793409201767	0.306866746698679	0	"0/1/2/3/4/6"	"3394/812/496/270/25/1"	2.21495327102804	1.83071768647505
"Ho25"	26	4698	383	319	0.0365557105840144	0.3024	0.0078	4441.42447461918	296.819987801107	4777.49244694582	115.616478018827	0.000891188219780181	0.302350009966115	0	"0/1/2/3/4"	"3239/1119/286/337/36"	2.21527777777778	3.40088383838384
