"ID"	"sex"	"age"	"stage"	"WH"	"captive"	"growth_rate"	"d.dev"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"out"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"110"	"111"	"112"	"113"	"114"	"115"	"116"	"117"	"118"	"119"	"120"	"121"	"122"	"123"	"124"	"125"	"126"	"127"	"128"	"129"	"130"	"131"	"132"	"133"	"134"	"135"	"136"	"137"	"138"	"139"	"140"	"141"	"142"	"143"	"144"	"145"	"146"	"147"	"148"	"149"	"150"	"151"	"152"	"153"	"154"	"155"	"156"	"157"	"158"	"159"	"160"	"161"	"162"	"163"	"164"	"165"	"166"	"167"	"168"	"169"	"170"	"171"	"172"	"173"	"174"	"175"	"176"	"177"	"178"	"179"	"180"	"181"	"182"	"183"	"184"	"185"	"186"	"187"	"188"	"189"	"190"	"191"	"192"	"193"	"194"	"195"	"196"	"197"	"198"	"199"	"200"
"key5.521"	"200_25_28_w"	2	0	1	1	"197_12_5_w/197_24_8_w"	0	0	0	0.05	0.05	0	-0.05	-0.05	0	0	0	0	0	-0.05	0.05	0.05	0	0.05	-0.05	0	-0.05	0	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	2	2	2	1	1	2	1	1	1	2	1	2	1	2	2	2	2	1	2	1	2	2	2	1	1	1	1	1	2	2	1	2	1	2	1	1	2	2	1	1	1	2	2	2	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	2	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	2	2	2	1	1	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1	1	1	2
"key4.51"	"199_2_11_w"	2	1	1	1	"196_4_14_w/196_1_11_w"	0	0	-0.05	0	0	0.05	0.05	0	0.05	0	-0.05	0	0.05	-0.05	0.05	0	0.05	0.05	-0.05	0.05	0	0	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	1	2	1	1	2	2	2	2	2	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	1	1	2	2	1	2	1	2	1	1	1	2	2	1	2	1	2	1	1	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	2	2	2	2	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1
"key5.138"	"200_34_6_w"	2	0	1	1	"197_23_24_w/197_22_7_w"	0	0	0	0	0.05	0.05	-0.05	-0.05	0.05	0	0	-0.05	0.05	0	0.05	0.05	0	0.05	0	0	0	-0.05	1	1	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	2	1	1	1	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	1	2	2	1	1	2	2	2	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	1	2	1
"key4.333"	"198_34_18_w"	2	2	1	1	"195_15_20_w/195_26_3_w"	0	0	-0.05	0.05	0	0.05	0	0.05	-0.05	-0.05	0	-0.05	0	0	0.05	0	0	0.05	0.05	0	0	0	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	2	2	1	1	1	1	2	2	1	2	2	2	1	2	1	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	1	2	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	2	1	1	2	1	2	2	1	1	2	2	1	1	2	2	2	2	2	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	1
"key516"	"198_17_1_w"	2	2	1	1	"195_7_37_w/195_27_2_w"	0	0	0	0.05	0	0.05	-0.05	-0.05	0.05	-0.05	-0.05	0.05	-0.05	0	0	0.05	-0.05	0	-0.05	0	-0.05	-0.05	2	1	1	1	1	2	1	1	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	2	2	2	1	1	1	2	2	1	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	2	2	1	1	1	1	1	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	1	2	2	2	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	1	1	1	2
"key5.861"	"198_22_25_w"	1	2	1	1	"195_21_15_w/195_11_1_w"	0	0	-0.05	0	0	0.05	-0.05	0	0	0.05	0.05	-0.05	0	-0.05	0.05	0.05	0	0.05	0	0	-0.05	-0.05	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1	1	2	2	2	1	2	1	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	2	2	1	1	2	2	1	2	2	2	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	1	1	2	1
"key6.1214"	"200_19_6_w"	2	0	1	1	"197_30_17_w/197_16_12_w"	0	0	-0.05	-0.05	0	0	0.05	0	0	0	0	0	-0.05	0	0.05	0.05	-0.05	0	0.05	-0.05	0.05	0	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	1	1	2	2	1	1	2	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	2	2	1	2	2	1	2	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	1	1	2	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	2	1	1	2	2	1	1	1	2	2	1	1	1	2	2	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1
"key41"	"199_2_1_w"	1	1	1	1	"196_4_14_w/196_1_11_w"	0	0	-0.05	0.05	0.05	0.05	0.05	-0.05	0.05	0	-0.05	0	-0.05	0	0.05	0	-0.05	0	-0.05	0.05	0	-0.05	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	2	2	1	2	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	1	2	2	2	1	2	2	1	1	1	1
"key3.23"	"200_4_8_w"	1	0	1	1	"197_13_22_w/197_15_2_w"	0	0	0	-0.05	-0.05	0.05	0	0	0.05	0	-0.05	0.05	0	0	0.05	0.05	0	0	0	-0.05	0	0.05	2	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	1	2	1	2	1	2	1	1	1	2	2	2	2	1	1	2	2	1	2	2	2	1	2	2	2	1	1	1	1	2	2	1	1	2	2	1	1	1	2	2	2	2	1	2	1	1	1	2	2	1	2	2	2	2	1	2	2	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	2	1	1	2	1	2	2	1	1	2	1	2	2	1	2	1	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1
"key6.3110"	"199_3_17_w"	1	1	1	1	"196_5_25_w/196_23_5_w"	0	0	-0.05	0.05	0.05	0.05	-0.05	0	0	0	-0.05	-0.05	-0.05	0	0.05	0.05	0.05	0	0	-0.05	0.05	-0.05	1	2	1	2	1	1	1	1	2	2	2	2	1	2	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	1	1	2	1	2	2	1	1	2	2	1	1	2	1	2	1	1	1	2	1	2	2	1	2	2	1	1	2	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2
"key4.320"	"200_21_26_w"	2	0	1	1	"197_6_11_w/197_10_30_w"	0	0	0	-0.05	0	0.05	0.05	-0.05	0	0	-0.05	0	0	0	0	0.05	-0.05	0.05	0	-0.05	-0.05	0	1	2	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	2	2	1	2	1	2	2	1	1	2	1	2	1	1	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	1	2	2	1	1	1	1	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	1	2	2	1	2	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2
"key3.912"	"197_21_30_w"	1	3	2	1	"194_5_14_w/194_34_24_w"	0	0	0	0	0.05	0	-0.05	-0.05	0.05	0	-0.05	0	0	0	0	0.05	-0.05	0.05	-0.05	0	0	0.05	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	2	2	2	2	1	2	1	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	2	1	2	2	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2	2	2	2	1	1	2	1
"key4.1041"	"197_18_34_w"	1	3	2	1	"194_10_12_w/194_8_1_w"	0	0	0	0.05	0	0	0.05	-0.05	-0.05	0	-0.05	0	0	0.05	0.05	0.05	0.05	0.05	-0.05	-0.05	0	0	1	1	1	1	2	1	1	1	2	2	2	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	2	2	2	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	2	2	1	2	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	2	2	2	1	1	1	2	1	1	2	2	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	2	2	1	2	1	1	2	2	1	2	2	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1
