"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"
"Ho14"	15	2071	470	412	0.0266008860249698	0.337	-0.0034	2242.50623027949	494.727450326855	2751.08594717991	528.36017169364	0.000491801203893472	0.337003624647604	0	"0/1/2/3/4"	"1076/648/347/251/161"
"Ho15"	16	2343	488	398	0.0302444363371032	0.3362	-0.001	2230.19359239681	492.998288526746	2736.00536790128	522.405647596882	0.000580873097365764	0.336249543962058	0	"0/1/2/3/4"	"1321/642/380/223/175"
"Ho16"	17	1828	477	395	0.0147323436797121	0.336	-0.002	2236.92479839835	492.68289773844	2741.75536884105	406.746566421911	0.000390307036082671	0.335951417004049	0	"0/1/2/3/4"	"970/598/260/258/137"
"Ho17"	18	1883	503	429	0.0204801038062284	0.3348	-5e-04	2207.87171893018	491.731882714228	2711.53267006754	503.76469030138	-0.000254364863350731	0.334762110726644	0	"0/1/2/3/4"	"1065/499/319/219/210"
"Ho18"	19	1998	496	412	0.0264107883817427	0.3367	-0.0036	2186.91032995167	492.344628132255	2691.13469431658	548.978030624036	0.00054763937370339	0.336692946058091	0	"0/1/2/3/4"	"1156/575/267/245/167"
"Ho19"	20	2189	512	419	0.016545245398773	0.336	-0.0019	2176.08149393091	492.5356723853	2679.98544955293	526.781926525927	0.00110326829950691	0.335950920245399	0	"0/1/2/3/4"	"1216/663/310/218/201"
"Ho20"	21	1996	436	369	0.00805496828752643	0.3343	-7e-04	2176.72379679933	493.473673679609	2681.02840784109	509.661221966364	0.000455017224938681	0.334325581395349	0	"0/1/2/3/4"	"1026/629/341/215/154"
"Ho21"	22	1881	482	406	0.0121337997376476	0.3347	-0.0012	2167.37898908841	490.395383569381	2668.01907703666	491.515646387074	0.000386706639240453	0.334678618277219	0	"0/1/2/3/4"	"1080/497/304/249/157"
"Ho22"	23	2186	548	462	0.0114425981873112	0.3326	0.0047	2152.48299795736	490.007435589974	2652.45623793431	553.9135632496	-0.000122065276311978	0.332643504531722	0	"0/1/2/3/4"	"1293/610/283/258/204"
"Ho23"	24	2123	445	354	0.0203270084779976	0.3343	0	2153.9188725596	492.272442040491	2655.90034126273	479.776212358963	-0.000619506759527488	0.334335890189746	0	"0/1/2/3/4"	"1153/662/308/178/176"
"Ho24"	25	2138	423	365	0.0212345185777068	0.3349	-0.003	2152.61261657039	490.103118886798	2652.11785708719	445.098609347587	-0.000252457873627709	0.334934079105074	0	"0/1/2/3/4"	"1104/675/359/227/138"
"Ho25"	26	2069	423	343	0.0221600331674959	0.3336	-0.0013	2152.02427783097	487.012804173057	2648.34883138886	479.939213634428	8.2176758577468e-05	0.333594527363184	0	"0/1/2/3/4"	"1084/615/370/210/133"
"Ho26"	27	1851	564	465	0.0204231433506045	0.335	-0.0023	2148.70801706979	484.194595966722	2641.9735154286	454.523738621285	-0.000351049166903761	0.335025906735751	0	"0/1/2/3/4"	"1090/477/284/299/166"
"Ho27"	28	2210	510	444	0.0217784476262246	0.3352	-0.001	2135.98417185508	486.745483804678	2632.80891310578	474.43791505925	0.000871454343447597	0.335173323285607	0	"0/1/2/3/4"	"1279/647/284/216/228"
"Ho28"	29	2237	432	365	0.014815526518063	0.3353	-0.0027	2138.54212218146	487.539425924849	2635.82651524244	419.743340690875	0.000237994517382489	0.335253651037663	0	"0/1/2/3/4"	"1206/674/357/208/157"
"Ho29"	30	1829	445	372	0.0102453430258973	0.3339	-0.0014	2141.79272515104	485.387594161536	2636.95669499113	433.218247660045	0.000340856714033499	0.33391640163562	0	"0/1/2/3/4"	"977/549/303/242/130"
"Ho30"	31	2004	494	409	0.0175714877745545	0.3342	-0.0012	2129.65239752127	483.923585967137	2623.0013169647	574.583125807379	0.000842549369232337	0.334227103191048	0	"0/1/2/3/4"	"1155/543/306/228/181"
"Ho31"	32	2278	505	438	0.0194219440353461	0.3349	-0.0027	2125.3536437238	484.242211082133	2618.77406152778	555.698983974608	0.000479188650222895	0.334911634756996	0	"0/1/2/3/4"	"1261/683/334/254/184"
"Ho32"	33	2368	516	427	0.0129695885509839	0.3347	-0.0014	2129.81353556631	484.865028279576	2623.61219905447	504.61026230595	0.00015152657310602	0.334679785330948	0	"0/1/2/3/4"	"1295/713/360/237/190"
"Ho33"	34	2051	440	353	0.0176580698835275	0.3336	-7e-04	2136.32515174638	485.753207300742	2630.81001811177	433.680787350373	-0.000640270901873019	0.333627287853577	0	"0/1/2/3/4"	"1050/647/354/223/130"
"Ho34"	35	2160	518	419	0.0202404032570764	0.3354	-0.0035	2133.7143807692	484.2721242199	2626.47432228245	514.361806818592	-0.000374246914704113	0.335366421093447	0	"0/1/2/3/4"	"1197/585/378/257/162"
"Ho35"	36	2021	615	523	0.0088246855345912	0.3348	-3e-04	2134.45651716173	485.174711777013	2627.91895372465	538.88362004393	0.000236327398855041	0.334823113207547	0	"0/1/2/3/4"	"1186/569/266/313/210"
"Ho36"	37	2475	579	484	0.00572828658330517	0.3366	-0.0032	2131.13320429451	488.03647673889	2628.14275813418	518.841997637008	-0.00031706196834258	0.336583305170666	0	"0/1/2/3/4"	"1414/733/328/225/259"
"Ho37"	38	2149	525	442	0.0183519876495562	0.3359	-0.0039	2139.16583438956	490.117549375931	2638.08494808266	494.086736705857	0.000229307237135989	0.33593979158626	0	"0/1/2/3/4"	"1131/670/348/266/176"
"Ho38"	39	2293	522	439	0.0184846266471449	0.3343	9e-04	2139.42347496613	490.976017882266	2639.01771643971	600.097028614798	0.00137657960183457	0.334300878477306	0	"0/1/2/3/4"	"1306/640/347/244/195"
"Ho39"	40	2132	506	417	0.00970969007453903	0.3348	3e-04	2143.10391210041	491.72536845884	2643.25477990192	589.131063674005	0.000971432644596648	0.334778344448803	0	"0/1/2/3/4"	"1127/685/320/237/180"
"Ho40"	41	2124	551	463	0.0201005025125628	0.3349	0.0019	2142.82490483739	492.072411559956	2643.12315527688	536.698149321184	0.00113091215091998	0.334920757634325	0	"0/1/2/3/4"	"1224/567/333/265/198"
"Ho41"	42	2489	481	401	0.0319031141868512	0.3335	0.0014	2142.36179155765	493.359316733234	2643.89159769242	548.473473423433	0.000973502340033017	0.333474048442907	0	"0/1/2/3/4"	"1346/785/358/215/186"
"Ho42"	43	2370	462	389	0.025353388909025	0.3326	0.0012	2149.48929656854	493.057670563635	2650.82165392429	495.702874506476	0.000557308737107576	0.332624139180863	0	"0/1/2/3/4"	"1194/743/433/254/135"
"Ho43"	44	1941	423	354	0.0301089324618736	0.3344	-0.0035	2154.15040166488	492.288048092072	2654.77142313705	630.149779633575	0.000830679732018558	0.33438779956427	0	"0/1/2/3/4"	"1016/595/330/211/143"
"Ho44"	45	1762	493	410	0.0341620626151013	0.3338	-0.0027	2148.78748055378	490.462174101824	2647.37083299053	533.271575439111	0.000513670109150155	0.333830570902394	0	"0/1/2/3/4"	"1010/468/284/251/159"
"Ho45"	46	2099	456	380	0.0307785397337636	0.3331	5e-04	2138.35628569603	490.5182863403	2637.17373954951	524.794101159757	0.000363225454339977	0.333069786204115	0	"0/1/2/3/4"	"1205/608/286/199/181"
"Ho46"	47	2275	485	414	0.0341204908888062	0.3347	-0.0026	2137.4850274218	489.712411376518	2635.33118855219	431.084915624958	8.54923258115647e-05	0.334708069914466	0	"0/1/2/3/4"	"1226/711/338/236/178"
"Ho47"	48	2114	520	421	0.0391715976331361	0.3333	-0.0017	2140.23756153061	489.611194032327	2637.86633857677	477.177487745961	-0.000438069371936356	0.333301775147929	0	"0/1/2/3/4"	"1132/620/362/247/174"
"Ho48"	49	2143	562	472	0.0378393881453155	0.3329	-0.0017	2139.68430448832	490.208022416823	2637.78567408907	474.362712094627	-0.000193559029429968	0.33293690248566	0	"0/1/2/3/4"	"1254/569/320/286/186"
"Ho49"	50	2472	461	386	0.0326976906927922	0.3335	-0.0043	2139.75186918086	491.489342478469	2639.12398892487	508.164323906669	0.000958530077829867	0.333544436668999	0	"0/1/2/3/4"	"1306/801/365/207/179"
"Ho50"	51	224	45	39	0.0254752851711027	0.3364	-0.0124	2145.51922153516	490.840084715126	2644.42322212031	Inf	0.0029605346576238	0.33638783269962	0	"0/1/2/3/4"	"83/89/52/21/18"
"Ho51"	52	234	49	40	0.056021897810219	0.3387	-0.0218	1836.60232171905	410.997343735323	2254.1250272583	385.070224719101	0.00370815119035406	0.338686131386861	0	"0/1/2/3/4"	"202/10/22/29/11"
"Ho52"	53	208	50	44	0.0446428571428571	0.3268	0.0085	1622.86126115416	359.870167611003	1987.8621300522	467.569460390356	0.00142063745378329	0.326785714285714	0	"0/1/2/3/4"	"180/27/1/16/28"
"Ho53"	54	197	17	11	0.000721153846153846	0.3327	-0.0249	1438.26851729862	322.195194439518	1764.62412717282	Inf	0.000260494793949295	0.332692307692308	0	"0/1/2/3/4"	"165/28/4/1/10"
