"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	1	1400	323	323	0.004062681369704	0.345	-0.0031	0	0	0	0
"Ho"	2	1397	421	421	-0.0554180418041804	0.3437	1e-04	1400	323	1723	Inf
"Ho"	3	1380	537	537	-0.0573813249869588	0.3435	0.0014	1398.49839113336	365.545698924731	1769.22564247388	Inf
"Ho"	4	1717	561	561	-0.0314969271290606	0.3463	-0.0053	1392.27740273675	409.083311080445	1815.88558432121	306.787411272281
"Ho"	5	1837	465	465	-0.0345351867940921	0.3442	6e-04	1461.37181926546	438.788907307152	1912.89807050475	107.661932089074
"Ho"	6	1435	421	421	-0.0354256465517241	0.3456	-0.0028	1523.68414403837	443.792035991767	1979.82722725471	522.905637941482
"Ho"	7	1459	531	531	-0.0513819095477387	0.3451	-0.0042	1508.14999865944	439.823519175035	1958.05455605413	817.218638636034
"Ho"	8	1421	542	542	-0.0247070809984717	0.3444	-0.0054	1500.92679782706	450.883506085693	1962.55525230706	791.610393277205
"Ho"	9	1881	420	420	-0.0268361581920904	0.3421	-4e-04	1490.44767135799	460.561727921327	1962.61083474726	702.873401674622
"Ho"	10	1507	531	531	-0.0244111874386654	0.3436	-0.0039	1525.64431256247	455.672085813886	1995.21301086626	794.057483084541
"Ho"	11	1498	543	543	0.000489955903968643	0.3436	-0.0042	1523.7591472134	462.229292686541	1999.41069308406	807.628868055317
"Ho"	12	1681	575	575	-0.0230496453900709	0.3431	-0.0026	1521.38085655605	468.565534040494	2003.12137098205	756.173151031437
"Ho"	13	1678	468	468	-0.0351817334575955	0.3449	-0.0068	1533.51542020024	475.906527828327	2022.00888705849	742.443632516518
"Ho"	14	1507	443	443	-0.00397435897435897	0.3448	-0.0054	1543.74035263678	475.288861061976	2031.035712581	740.744143776142
"Ho"	15	1639	493	493	-0.0313086303939962	0.3426	-3e-04	1541.05673485917	472.827227290884	2025.02474835108	904.01627454449
"Ho"	16	1527	457	457	-0.0108366935483871	0.3437	-0.0036	1547.22064953514	474.120577750881	2031.82132739434	839.240316399988
"Ho"	17	1665	514	514	-0.0447452960073428	0.3434	-0.0027	1545.94118265333	473.013048119111	2028.76505729571	752.485890693183
"Ho"	18	1573	542	542	-0.050354609929078	0.3444	-0.0032	1552.47131509423	475.242245998317	2037.02660672606	671.765976593165
"Ho"	19	1215	480	480	-0.0320058997050148	0.3428	-9e-04	1553.59773023424	478.516609890154	2041.20732281052	667.54332481341
"Ho"	20	1433	531	531	-0.0226578411405295	0.343	-0.0014	1531.13983665134	478.594454438437	2019.49750063639	789.590384376483
"Ho"	21	1653	569	569	-0.0528802880288029	0.3434	-0.0022	1525.91467903291	480.967842591789	2016.64824052915	943.962597129149
"Ho"	22	1688	430	430	-0.0624409820585458	0.3409	0.0036	1531.52162505567	484.537588112494	2025.56240631835	667.397868517212
"Ho"	23	1232	501	501	-0.051067512983266	0.3431	-0.0051	1538.00223931323	481.760205485038	2029.58872398098	786.792981383859
"Ho"	24	1701	565	565	-0.03806266548985	0.3434	-0.0051	1521.57070197284	482.565939192405	2014.59820462914	941.81116033234
"Ho"	25	811	464	230	0.074207492795389	0.3395	0.003	1528.28781961583	485.517501080845	2023.95437119776	710.19933131277
"Ho"	26	755	306	147	0.152716186252772	0.3415	-0.0012	1476.06758296047	484.618554505812	1977.49006291171	763.682576064625
"Ho"	27	589	195	104	0.264430014430014	0.3429	-0.0093	1423.76838637077	473.977383673705	1913.90439063658	1066.03573699867
"Ho"	28	856	122	54	0.323901098901099	0.3405	-0.0013	1352.7603038701	450.12646198575	1816.92088329197	708.818079940231
"Ho"	29	621	110	51	0.451264880952381	0.3436	-0.0117	1325.29232089102	410.678434544066	1762.91326024735	209.989258861439
"Ho"	30	789	97	47	0.493421052631579	0.3392	-0.005	1275.41370046797	375.303606665988	1681.08245336061	177.851430755267
"Ho"	31	748	126	60	0.536819306930693	0.3385	-0.0029	1249.73196205412	342.54375684757	1632.25706028292	67.1379310344828
"Ho"	32	857	128	57	0.644967177242888	0.3355	0.0072	1223.26351275433	324.551052253653	1587.82007129932	112.953111264892
"Ho"	33	811	138	70	0.731838819523269	0.3338	0.0058	1207.14143492661	309.69022705811	1558.02288019136	114.053851907255
"Ho"	34	793	136	69	0.68445475638051	0.336	0.0038	1189.53415005212	298.438794389747	1528.30193482153	155.085798911819
"Ho"	35	833	141	67	0.7825	0.3382	-0.002	1172.29306138261	288.310588422375	1499.84440136775	128.870569325776
"Ho"	36	881	139	75	0.882583682008368	0.3369	-4e-04	1158.8073710897	279.953916453989	1477.06047698223	131.121769251266
"Ho"	37	811	158	82	0.848264277715566	0.3361	-0.0038	1148.74526045598	272.284148834764	1458.90126919443	164.941390948732
"Ho"	38	769	160	75	0.950236966824645	0.3389	-0.0057	1135.95941355366	267.063296705279	1439.23532183063	229.563290554889
"Ho"	39	671	162	68	0.961434370771313	0.338	-0.0056	1121.87135474793	262.441931834247	1418.72979652552	161.307706455766
"Ho"	40	693	124	56	1.05473965287049	0.3361	-0.0049	1102.86977315397	258.334988917618	1393.60358770768	305.246793626117
"Ho"	41	844	119	63	1.13726571113561	0.3392	-0.0098	1086.80027168146	251.522828361083	1369.44126378319	242.208535159512
"Ho"	42	769	118	50	1.08394383394383	0.3368	-0.0057	1079.22782889847	244.871653108891	1355.48776079356	606.318560772268
"Ho"	43	920	116	57	1.21929375639713	0.3382	-0.0075	1068.96028206941	238.759503609615	1338.65352043634	158.245906902087
"Ho"	44	995	159	107	1.26134301270417	0.3377	-0.0061	1064.95028976523	233.024544231367	1329.62024736664	108.255135845703
"Ho"	45	1036	196	128	1.30992268041237	0.3368	-0.0047	1063.25146044245	230.584731530077	1325.03730700847	152.567393692139
"Ho"	46	1134	228	148	1.35861934477379	0.3351	0.0034	1062.63030583618	229.684100808627	1322.81740496982	190.035747601778
"Ho"	47	917	271	178	1.38356164383562	0.3351	0.003	1064.08616628115	229.647225419799	1323.64521340947	241.536816406636
"Ho"	48	890	259	176	1.40126641651032	0.3336	0.0026	1060.4670560063	230.395241631744	1320.43740815796	319.741984511833
"Ho"	49	907	259	188	1.44543378995434	0.3336	8e-04	1056.25225702095	230.92658003447	1316.34560950092	417.311042373926
"Ho"	50	1168	254	193	1.48383541513593	0.3343	0.0014	1052.71693361016	231.438539005529	1312.89079508577	559.922851294898
"Ho"	51	1253	263	196	1.51570048309179	0.3345	0.0014	1054.79913358525	231.85041965116	1314.90863806797	476.453701516652
"Ho"	52	1247	301	234	1.57798784604997	0.3378	-0.0098	1058.0808659667	232.390109084935	1318.33750511216	460.861725258276
"Ho"	53	1172	362	289	1.61190965092402	0.3378	-0.0073	1061.17252896144	233.413266428905	1322.10960547128	374.051324891812
"Ho"	54	1146	388	291	1.64091858037578	0.3375	-0.0101	1063.06925891031	234.988183710838	1325.56430947004	495.418137631391
"Ho"	55	1346	362	293	1.64978645515558	0.3365	-0.0046	1064.49578959219	236.716920151212	1328.90816832023	601.316193352642
"Ho"	56	1277	377	324	1.69237976264834	0.3365	-0.0075	1068.55905954127	238.215886496223	1334.29266320731	715.516672923433
"Ho"	57	1022	404	343	1.7540293040293	0.3381	-0.0078	1071.68276694444	239.79221035656	1338.91415091442	813.272278971469
"Ho"	58	1419	419	363	1.75350729517396	0.3376	-0.0053	1070.7695456414	241.514398367809	1340.35020730914	745.502067336549
"Ho"	59	1500	415	359	1.78402366863905	0.3355	-0.0037	1075.31936156151	243.291235305926	1346.63658886403	792.07165201856
"Ho"	60	1215	410	376	1.82385292269013	0.3333	0.0015	1080.50432502578	245.00944108362	1353.44500253332	790.964080140903
"Ho"	61	1224	451	408	1.81571691176471	0.3331	0.0021	1082.50146858789	246.663798726561	1357.22511805635	782.223724693251
"Ho"	62	1349	461	429	1.84856580427447	0.334	0.0028	1084.55685273413	248.509587871473	1361.45939845386	848.898936918195
"Ho"	63	1417	454	420	1.8430865541644	0.3341	0.0031	1087.99683584571	250.370949083275	1366.9229561532	944.84186004536
"Ho"	64	1542	412	380	1.85770031217482	0.3343	0.0011	1092.02141831876	252.166221031457	1372.79362843637	748.85555917835
"Ho"	65	1556	453	419	1.86088607594937	0.3358	-0.0039	1097.02341491729	253.70408826321	1379.20357201154	780.735410921558
"Ho"	66	1316	463	431	1.86047510017172	0.3344	0.0013	1102.0244373906	255.43296397874	1385.88754817599	734.421580520294
"Ho"	67	1455	512	481	1.87990702479339	0.335	-4e-04	1104.74605314844	257.179873596079	1390.54320977137	823.590058893022
"Ho"	68	1452	484	438	1.87486772486772	0.3333	0.0021	1108.72960878745	259.104578042459	1396.65229092909	838.41109590389
"Ho"	69	1587	555	506	1.86574295269947	0.3323	0.0035	1112.59772026348	260.887282083157	1402.39776386561	1012.88773299994
"Ho"	70	1406	493	453	1.87170521785906	0.3317	0.0069	1117.43882531261	262.906452504991	1409.45085663608	1043.36668067016
"Ho"	71	1308	570	534	1.89155808903366	0.3318	0.0042	1120.72471884411	264.671132884151	1414.66071098961	954.060483270268
"Ho"	72	1236	448	431	1.90401919616077	0.3309	0.0061	1122.98931094195	266.683143312282	1419.59368981728	848.988797113256
"Ho"	73	1353	436	404	1.88531587933978	0.3324	0.0029	1124.41720517003	268.19069208715	1422.69617270802	956.338536959642
"Ho"	74	1585	481	450	1.89029484029484	0.3317	7e-04	1127.02549966078	269.612189982267	1426.69783336448	1084.90788428524
"Ho"	75	1524	444	422	1.9051901336074	0.3343	-0.0032	1131.44337171144	271.222945290225	1432.68878759135	1031.561951224
"Ho"	76	1400	441	416	1.91161894273128	0.3334	-0.0031	1135.3426392391	272.637525127912	1437.90373332858	769.675895917599
"Ho"	77	1319	545	531	1.92040540540541	0.3332	-0.0047	1138.17371114209	274.013992304603	1442.05828542539	918.744718546759
"Ho"	78	1261	408	384	1.94331306990881	0.3326	-0.0031	1140.20376949187	275.794918406873	1446.31012879778	772.886633511377
"Ho"	79	1342	506	499	1.93020097772949	0.3319	-0.0028	1141.60580774297	276.945420919742	1448.78843232202	1069.87532626597
"Ho"	80	1481	551	546	1.94869264923532	0.3315	4e-04	1143.76774641067	278.541488448459	1452.76097181061	1117.50871070255
"Ho"	81	1363	464	462	1.96931506849315	0.3304	0.0018	1147.03257067425	280.273861386302	1457.9560076189	1042.7235527925
"Ho"	82	1341	503	488	1.94805904866047	0.3306	-2e-04	1149.28076331418	281.650686446399	1461.60088877238	1119.75182228686
"Ho"	83	1491	534	514	1.93628428927681	0.33	0	1151.28803913736	283.170338291416	1465.30659176672	1020.89048537112
"Ho"	84	1440	527	499	1.95371325425477	0.3284	0.0045	1154.45711698552	284.781993248939	1470.20239775089	985.001888071753
"Ho"	85	1513	541	524	1.95103092783505	0.3289	0.0034	1157.18882194924	286.348787151065	1474.63624522722	1021.50621564292
"Ho"	86	1548	505	498	1.96749755620723	0.3302	0.002	1160.39929619666	287.94333142811	1479.5460071268	1038.77268452091
"Ho"	87	1473	566	560	1.97602065912445	0.3302	0.0034	1163.78765110807	289.389657816431	1484.36717798911	1202.84082339416
"Ho"	88	1439	455	444	1.96481678173128	0.3297	0.002	1166.60251720016	291.024448692852	1489.02272174902	935.505025125628
"Ho"	89	1369	517	512	1.99787347155768	0.3299	9e-04	1169.11739998534	292.221180189485	1492.64954058078	1088.97220531548
"Ho"	90	1539	497	494	1.9879488440728	0.3308	-0.0011	1171.03851211113	293.655722312188	1496.15564415885	1048.58500882511
"Ho"	91	1515	580	574	2.00562470081379	0.3319	-0.0043	1174.15774415615	294.996788910921	1500.57650070991	1235.26133704603
"Ho"	92	1438	576	574	1.99639662027833	0.3312	-0.002	1177.0677970574	296.598370723349	1505.2698720794	1216.92649739535
