"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	33	1465	556	553	0.0642963330029732	0.3606	-3e-04	1417.78359992755	423.222725471418	1883.07781569493	696.1437163145
"Ho"	34	1528	502	494	0.0642927794263106	0.3599	3e-04	1419.16963946561	426.307747315706	1886.98012058406	1005.22298767617
"Ho"	35	1196	461	456	0.0723365617433414	0.359	0.003	1422.14879264233	428.206735623294	1890.89834796328	1114.16400905922
"Ho"	36	1346	571	565	0.0881737310308739	0.3608	6e-04	1414.50691421819	429.078808434167	1883.30284105343	1473.94503405301
"Ho"	37	1673	525	523	0.0535063752276867	0.36	4e-04	1412.50991290904	432.0618171871	1884.22286883848	1363.66946469056
"Ho"	38	1559	450	443	0.0574425574425574	0.3608	-4e-04	1418.47911775096	434.138938630841	1891.52085456602	1269.9238833586
"Ho"	39	1443	456	450	0.0619387216059165	0.361	-4e-04	1421.85172263418	434.541996951374	1894.43611400056	998.961340028146
"Ho"	40	1173	379	377	0.0719354838709677	0.3619	-0.0018	1422.38623973209	435.066944534718	1894.55286267105	795.145860748544
"Ho"	41	1464	487	483	0.0830765279917822	0.361	2e-04	1414.86603257971	433.463844710234	1884.15622753155	1066.68940577895
"Ho"	42	1417	459	454	0.0573222875467664	0.3617	-0.0036	1416.02515115967	434.629186304438	1885.73202283691	841.825983249796
"Ho"	43	1269	501	498	0.0503678551216752	0.3604	-3e-04	1416.0483462581	435.179330218792	1885.49913471834	981.011585713994
"Ho"	44	1359	556	551	0.074869109947644	0.3621	-0.0033	1412.24260397011	436.513015361963	1882.64217056535	1058.52076807436
"Ho"	45	1475	488	484	0.0801429300663604	0.3618	-0.0033	1410.98625601312	438.655495021669	1883.36542735696	949.150388271278
"Ho"	46	1609	443	437	0.0999511241446725	0.3621	-0.0042	1412.34836081748	439.64338140703	1885.06482546394	872.803924704128
"Ho"	47	1656	480	474	0.119483568075117	0.3627	-0.0042	1416.11089938625	439.715810412077	1888.40452733874	932.994561439305
"Ho"	48	1543	469	465	0.140687250996016	0.3623	-0.002	1420.48904512923	440.502392055495	1893.07338940576	897.926689689675
"Ho"	49	1402	499	498	0.1925	0.3623	-2e-04	1422.84260159056	441.060724305004	1895.40745153202	777.374391105954
"Ho"	50	1427	474	470	0.158012651555087	0.3617	-0.0013	1422.41104977233	442.10834761036	1895.52125623736	696.706906578352
"Ho"	51	1452	496	491	0.166623777663407	0.3606	-2e-04	1422.50253951799	442.704067620319	1895.63052161239	698.538895260032
"Ho"	52	1416	562	560	0.207616396761134	0.3606	9e-04	1423.06939704111	443.638766454046	1896.63029553105	971.138908426546
"Ho"	53	1489	578	574	0.227823557925351	0.3605	0.0013	1422.93278148272	445.442871564662	1898.13191364625	1014.06597889936
"Ho"	54	1489	527	524	0.219821162444113	0.3613	-0.0012	1424.12502116453	447.378734998573	1901.06231825893	1121.93865831013
"Ho"	55	1386	477	472	0.177072120559742	0.3611	-0.0026	1425.2749936174	448.633946268673	1903.07156496918	1121.42211554572
"Ho"	56	1630	403	398	0.189842209072978	0.3595	5e-04	1424.54104582149	449.119547534812	1902.3276109902	896.520962671688
"Ho"	57	1438	605	598	0.199778978388998	0.358	0.0038	1427.75472892215	448.203606930633	1904.51357243363	1114.53567072145
"Ho"	58	1630	412	407	0.21453117329406	0.358	0.0019	1427.93321223035	450.2508072366	1906.78116405208	711.132950028654
"Ho"	59	1642	502	496	0.225210477081384	0.3578	0.0015	1430.99176850268	449.531233560597	1908.96063173499	817.390473761242
"Ho"	60	1654	513	509	0.258552935737402	0.3578	0.002	1434.11538947024	450.328998671414	1912.51423134869	827.762182816622
"Ho"	61	1572	460	454	0.278874629812438	0.359	-0.0013	1437.29999395821	451.247781983442	1916.26490160268	662.520233984787
"Ho"	62	1624	523	515	0.253856942496494	0.3589	-0.0033	1439.32181702426	451.388574970552	1918.05580757936	755.438631323494
"Ho"	63	1881	526	523	0.281301996672213	0.3583	-0.0025	1441.96661854006	452.387653627865	1921.36037584112	816.469258275797
"Ho"	64	1542	496	493	0.237346437346437	0.359	-0.0041	1447.32872434272	453.39481931326	1927.53342010814	897.347486530193
"Ho"	65	1525	525	517	0.24498041136141	0.3582	-0.0021	1448.718478177	454.004160583869	1929.167286891	865.197194820543
"Ho"	66	1221	468	462	0.266042780748663	0.3564	0.0025	1449.83419629942	454.950669145008	1930.91826695094	837.443080167039
"Ho"	67	1530	550	546	0.258068400770713	0.3552	0.0029	1445.72886531189	455.142954530918	1926.73690758863	1011.06296537219
"Ho"	68	1682	522	512	0.251367365542388	0.3563	-3e-04	1446.91834390561	456.317579697967	1928.85819613601	1037.08765743845
"Ho"	69	1303	462	457	0.262073863636364	0.3567	5e-04	1449.898379159	457.163523090755	1932.4057941931	920.96683366383
"Ho"	70	1577	477	475	0.265472709551657	0.3552	0.0036	1447.5332653141	457.232893701601	1929.75315339792	921.65606313725
"Ho"	71	1682	470	461	0.25933271115259	0.3561	9e-04	1449.23294333723	457.503739015798	1931.42218327501	827.329579907692
