"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	1	1462	334	334	-0.00598552338530067	0.3408	0.0043	0	0	0	0
"Ho"	2	1335	457	457	0.0153459821428571	0.3414	0.0044	1462	334	1796	Inf
"Ho"	3	1608	467	467	0.0148192771084337	0.3434	-9e-04	1395.61673221309	385.936788874842	1793.9977703456	Inf
"Ho"	4	1647	453	453	0.0166666666666667	0.3434	-0.0014	1459.89042609902	409.638890112732	1878.80893497577	168.446261614105
"Ho"	5	1695	492	492	0.0437814357567444	0.3419	0.0025	1502.56565679126	419.681865548574	1929.62021478537	59.614248500211
"Ho"	6	1348	599	599	-0.00821777092963534	0.3426	5e-04	1537.47576161555	432.393194481247	1976.13294200707	303.51235961902
"Ho"	7	1513	554	554	-0.000241896468311563	0.3437	-0.0023	1502.28213504542	453.411981872366	1971.21705840445	757.528501540865
"Ho"	8	1663	527	527	-0.0189497716894977	0.3422	5e-04	1503.80395240734	465.485807250888	1984.3532246232	782.17238134937
"Ho"	9	1355	524	524	-0.000931346460883448	0.3442	-4e-04	1522.0164450732	472.378112339338	2007.92186946706	1029.12009406653
"Ho"	10	1680	519	519	-0.0459299681673488	0.3424	0.0025	1501.45331306893	477.606043965213	1992.73018941485	1091.63877860759
"Ho"	11	1417	479	479	-0.0748945147679325	0.3439	-0.0025	1517.58183742723	481.44591895604	2011.5993213378	944.99832125714
"Ho"	12	1141	432	432	-0.0715193897012079	0.3459	-0.0092	1507.85177378603	481.222530967699	2000.51101506286	989.074675697434
"Ho"	13	1535	425	425	-0.0339285714285714	0.3436	-0.0049	1468.50587934739	476.696258524144	1956.20609592009	840.912938529863
"Ho"	14	1762	461	461	-0.0510571300044984	0.3431	-0.0038	1473.41559995249	472.277259913544	1956.49741316963	980.544695276922
"Ho"	15	1574	481	481	-0.0546228710462287	0.3416	0	1490.85673816147	471.45347568942	1973.3959131275	929.831166393698
"Ho"	16	1675	393	393	-0.0669729206963249	0.3435	-0.0035	1496.12538469272	472.078105642575	1978.63401928805	630.368067602794
"Ho"	17	1863	501	501	-0.0559433164128596	0.3421	8e-04	1506.17825994766	466.214970042516	1983.99250077854	710.771552619261
"Ho"	18	1186	577	577	-0.0336074872376631	0.3424	0.0027	1523.34100147266	468.126888304059	2002.93171326659	821.813040958849
"Ho"	19	1463	578	578	-0.0401763841254287	0.3405	0.0044	1499.64363932437	473.086098358787	1987.90175568021	782.078705093563
"Ho"	20	1607	436	436	-0.104747919725893	0.3422	0.0027	1497.66932358811	477.649205420938	1990.62742734495	739.904082765885
"Ho"	21	1726	547	547	-0.100527936647602	0.3441	2e-04	1502.78133665706	475.378661438942	1993.18220168838	987.924273520535
"Ho"	22	1462	485	485	-0.019774011299435	0.3436	-4e-04	1512.09346717053	478.361239333676	2004.93542516958	825.554663200777
"Ho"	23	1525	483	483	-0.0641185258964143	0.3434	8e-04	1509.74213592684	478.659055914086	2002.22729868512	801.721713138499
"Ho"	24	1631	483	483	-0.0846736045411542	0.3454	-0.0038	1510.3991698607	478.846169465928	2002.47759543395	861.139417105212
"Ho"	25	746	497	255	0.017982017982018	0.3434	-6e-04	1515.06702037095	479.017818779421	2006.88892226911	702.389754173296
"Ho"	26	1834	349	346	0.0473623853211009	0.3444	-0.0078	1455.06475158035	479.712085955546	1958.73899405746	902.804061771641
"Ho"	27	1280	426	423	0.0267175572519084	0.3434	-0.0074	1466.72048709202	472.899904669723	1966.50902280493	1036.44356723506
"Ho"	28	1473	466	459	0.0455486542443064	0.3422	-0.0019	1458.8386853007	470.979465439112	1955.44974828213	1039.35550479858
"Ho"	29	1703	416	411	0.0924787133396405	0.3429	-1e-04	1459.33975623323	470.799795657443	1954.85745267645	580.127503180251
"Ho"	30	1426	509	504	0.0704663212435233	0.3442	-0.0058	1466.57538739925	468.670894030828	1960.09308222695	719.258416042131
